template_id,family,strategy,severity_in_yaml,owasp_category,current_cwe,current_cve,proposed_cwe,proposed_cve,cwe_diff,cve_diff,rules_fired
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_BASE64,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,BASE64,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-172",,"+CWE-1284,CWE-172,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-172: Encoding error (base64 / rot13 obfuscation of malicious payload)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_BASE64_BAD_LIKERT_JUDGE,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,BASE64_BAD_LIKERT_JUDGE,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-754,CWE-1284,CWE-693,CWE-20,CWE-172",,"+CWE-1284,CWE-172,CWE-20,CWE-693,CWE-754 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-754: Improper check for unusual or exceptional conditions | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-172: Encoding error (base64 / rot13 obfuscation of malicious payload)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_BASE64_CRESCENDO_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,BASE64_CRESCENDO_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-172",,"+CWE-1284,CWE-172,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-172: Encoding error (base64 / rot13 obfuscation of malicious payload)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_BASE64_LINEAR_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,BASE64_LINEAR_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-172",,"+CWE-1284,CWE-172,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-172: Encoding error (base64 / rot13 obfuscation of malicious payload)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_BASE64_SEQUENTIAL_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,BASE64_SEQUENTIAL_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-172",,"+CWE-1284,CWE-172,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-172: Encoding error (base64 / rot13 obfuscation of malicious payload)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_BASE64_TREE_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,BASE64_TREE_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-172",,"+CWE-1284,CWE-172,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-172: Encoding error (base64 / rot13 obfuscation of malicious payload)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_CONTEXT_POISONING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,CONTEXT_POISONING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-345,CWE-1284,CWE-693,CWE-501",,"+CWE-1284,CWE-345,CWE-501,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-345: Insufficient verification of data authenticity (poisoned RAG, unsigned messages) | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-501: Trust-boundary violation (RAG poisoning, indirect injection, context poisoning)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_CONTEXT_POISONING_BAD_LIKERT_JUDGE,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,CONTEXT_POISONING_BAD_LIKERT_JUDGE,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-345,CWE-754,CWE-1284,CWE-693,CWE-501",,"+CWE-1284,CWE-345,CWE-501,CWE-693,CWE-754 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-345: Insufficient verification of data authenticity (poisoned RAG, unsigned messages) | CWE-754: Improper check for unusual or exceptional conditions | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-501: Trust-boundary violation (RAG poisoning, indirect injection, context poisoning)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_CONTEXT_POISONING_CRESCENDO_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,CONTEXT_POISONING_CRESCENDO_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-345,CWE-1284,CWE-693,CWE-501",,"+CWE-1284,CWE-345,CWE-501,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-345: Insufficient verification of data authenticity (poisoned RAG, unsigned messages) | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-501: Trust-boundary violation (RAG poisoning, indirect injection, context poisoning)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_CONTEXT_POISONING_LINEAR_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,CONTEXT_POISONING_LINEAR_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-345,CWE-1284,CWE-693,CWE-501",,"+CWE-1284,CWE-345,CWE-501,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-345: Insufficient verification of data authenticity (poisoned RAG, unsigned messages) | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-501: Trust-boundary violation (RAG poisoning, indirect injection, context poisoning)"
